id,customer_id,branch_id,product_code,type,currency,balance,lien_amount,status,last_trans_date,created_at
2000200948301,02009483,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,1522.31,0,ACTIVE,,2013-12-24T00:00:00Z
2000200948401,02009484,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2013-12-30T00:00:00Z
2000200948501,02009485,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2013-12-30T00:00:00Z
2000200948601,02009486,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2013-12-30T00:00:00Z
2000200948701,02009487,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2013-12-30T00:00:00Z
2000200948801,02009488,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2013-12-31T00:00:00Z
2000200948901,02009489,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2013-12-31T00:00:00Z
2000200949001,02009490,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2013-12-31T00:00:00Z
2000200949101,02009491,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2013-12-31T00:00:00Z
2000200949201,02009492,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-02T00:00:00Z
2000200949301,02009493,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-02T00:00:00Z
2000200949401,02009494,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-03T00:00:00Z
2000200949501,02009495,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-03T00:00:00Z
2000200949601,02009496,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-03T00:00:00Z
2000200949701,02009497,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-06T00:00:00Z
2000200949801,02009498,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-06T00:00:00Z
2000200949901,02009499,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-06T00:00:00Z
2000200950001,02009500,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-06T00:00:00Z
2000200950101,02009501,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-06T00:00:00Z
2000200950201,02009502,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,15.96,0,ACTIVE,,2014-01-06T00:00:00Z
2000200950301,02009503,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-07T00:00:00Z
2000200950400,02009504,BR001,PRD-COLLATERAL-SAVINGS-C15E48E0,SAVINGS,GHS,0,0,ACTIVE,,2018-08-16T00:00:00Z
2000200950401,02009504,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-07T00:00:00Z
2000200950601,02009506,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-08T00:00:00Z
2000200950801,02009508,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-08T00:00:00Z
2000200950901,02009509,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-08T00:00:00Z
